SKU	EAN-13	Descrição	Marca	Unidade de Medida (UM)	Categoria	Subcategoria	Origem do Produto	NCM	CEST	Estoque Mínimo	Estoque Máximo	Ponto de Pedido	Dimensões	Preço de Custo	Preço de Venda	Controle de Lote e Validade
kullka001	44	Hot Dog Buns	Mudo	UN	bazar		2 - Estrangeira Adquirida no Mercado Interno	43351243	1{7	98.12	137	100	91x25x00 cm	1	38	true
kullka001	45	Multi-Layer Food Steamer	Mycat	M	alcoólicos		1 - Estrangeira Importação Direta	5512980	7{7	66.92			06x83x94 cm	95	21	false
kullka001	46	Sweet Potato Chips	Wikivu	L	alcoólicos		0 - Nacional	72990347	1{7		173	100	28x50x39 cm	98	26	false
kullka001	47	Sun-Dried Tomato Pesto	Skynoodle	M	bazar		1 - Estrangeira Importação Direta	22058939	1{7		117	100	68x51x37 cm	80	63	true
kullka001	48	Sesame Garlic Noodles	Plambee	UN	bazar		1 - Estrangeira Importação Direta	91960836	6{7	89.71		100	86x95x73 cm	49	65	true
kullka001	49	Pet Leash	Plajo	M	alcoólicos		0 - Nacional	98448813	9{7	59.32	104	100	49x42x11 cm	100	94	true
kullka001	50	Digital Voice Recorder	Trunyx	M	açougue		1 - Estrangeira Importação Direta	11107891	3{7		124	100	96x10x82 cm	64	60	false
kullka001	51	Multi-Function Smartphone Holder	Gabtype	KG	mercearia		0 - Nacional	28777172	1{7		171		46x46x35 cm	74	22	true
kullka001	52	Collapsible Camping Cup	Jabbertype	CX	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	43865507	1{7	56.04	192	100	34x17x74 cm	80	27	false
kullka001	53	USB Wall Charger	Realmix	UN	açougue		1 - Estrangeira Importação Direta	44227996	5{7	52.47			44x20x87 cm	17	51	true
kullka001	54	Portable Phone Charger	Latz	L	Bebidas		0 - Nacional	59688591	8{7	62.55	141	100	41x59x09 cm	63	73	false
kullka001	55	Leather Crossbody Bag	Bluezoom	UN	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	76734680	2{7	38.86	100	100	72x49x84 cm	48	89	false
kullka001	56	Chino Shorts	Meevee	UN	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	27746406	3{7	36.26			69x02x98 cm	58	87	false
kullka001	57	Electric Rice Cooker	Jaxbean	CX	mercearia		1 - Estrangeira Importação Direta	54427488	1{7				30x38x98 cm	92	39	false
kullka001	58	Ankle Boots	Divanoodle	M	alcoólicos		0 - Nacional	19094325	3{7	36.36	172	100	94x52x98 cm	96	1	false
kullka001	59	Smart Light Switch	Jaloo	CX	alcoólicos		0 - Nacional	72158966	9{7	96.66			75x83x86 cm	46	33	false
kullka001	60	Lasagna Noodles	Wikibox	UN	bazar		0 - Nacional	37590805	7{7		109	100	56x71x88 cm	47	63	false
kullka001	61	Chocolate Raspberry Tart	DabZ	KG	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	32524346	3{7	21.76	110		18x97x22 cm	95	23	false
kullka001	62	Maple Cinnamon Granola Bars	Quatz	CX	hortifruti		0 - Nacional	57550208	0{7	68.77	120	100	56x68x42 cm	71	8	true
kullka001	63	Kale & Quinoa Salad Mix	Quaxo	L	Bebidas		1 - Estrangeira Importação Direta	63602326	4{7	21.09	199	100	73x22x58 cm	77	54	false
kullka001	64	Roasted Red Pepper Sauce	Photojam	UN	Bebidas		0 - Nacional	19087397	2{7	10.22			43x36x71 cm	25	6	false
kullka001	65	Athletic Jogging Jacket	Photospace	L	Bebidas		0 - Nacional	64161589	7{7	87.81			05x62x01 cm	40	16	true
kullka001	66	Homestyle Beef Stew	Zoonder	M	Bebidas		0 - Nacional	744646	2{7	80.05	102	100	95x72x48 cm	36	81	false
kullka001	67	Flavored Popcorn Mix	Skinix	L	bazar		1 - Estrangeira Importação Direta	62304923	6{7	93.11	111	100	97x29x15 cm	64	79	true
kullka001	68	Mint Chocolate Chip Ice Cream	Dabvine	M	hortifruti		0 - Nacional	22130052	6{7	47.99		100	34x74x66 cm	73	76	true
kullka001	69	Brown Sugar	Voonte	M	bazar		0 - Nacional	36606612	2{7	83.39		100	75x79x83 cm	82	30	true
kullka001	70	Stainless Steel Cutlery Set	Zoombox	UN	açougue		1 - Estrangeira Importação Direta	64416600	1{7		147	100	29x86x79 cm	21	12	true
kullka001	71	Running Shorts	Gabtype	KG	alcoólicos		1 - Estrangeira Importação Direta	39752755	5{7	55.24	174	100	58x41x14 cm	58	71	false
kullka001	72	Magnetic Phone Car Mount	Oyoloo	M	alcoólicos		0 - Nacional	18005063	7{7				93x83x21 cm	53	55	true
kullka001	73	Portable Air Conditioner	Zoonoodle	CX	açougue		0 - Nacional	92450982	2{7	34.21			80x50x84 cm	85	10	false
kullka001	74	Apple Cinnamon Granola	Quatz	CX	alcoólicos		1 - Estrangeira Importação Direta	54437468	4{7	95.84	104	100	82x77x41 cm	59	73	true
kullka001	75	Crispy Kale Chips	Yata	L	hortifruti		0 - Nacional	70760418	3{7	77.15		100	54x87x54 cm	17	35	false
kullka001	76	Wireless Mouse	Thoughtblab	UN	alcoólicos		0 - Nacional	96937427	9{7		194	100	32x82x51 cm	59	63	false
kullka001	77	Granola	Pixope	UN	bazar		0 - Nacional	2753286	9{7	18.29		100	84x07x21 cm	50	39	false
kullka001	78	Organic Brown Sugar	Tagfeed	UN	Bebidas		0 - Nacional	34571734	5{7				47x82x25 cm	9	87	false
kullka001	79	Mini Indoor Herb Garden Kit	Yakijo	KG	alcoólicos		0 - Nacional	23729358	7{7		124		99x94x07 cm	23	78	true
kullka001	80	Wireless Security System	Tagtune	UN	açougue		1 - Estrangeira Importação Direta	14263537	4{7	65.2		100	85x70x19 cm	2	77	false
kullka001	81	Ergonomic Gaming Chair	Zoovu	CX	Bebidas		0 - Nacional	20357046	0{7	23.81	100		85x32x95 cm	67	89	true
kullka001	82	Puzzle Mat	Rhyzio	M	bazar		0 - Nacional	25476542	5{7	36.32	180	100	63x38x12 cm	43	44	true
kullka001	83	Adjustable Skipping Rope	Skyvu	L	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	54077392	7{7	16.97	134		31x19x56 cm	23	28	false
kullka001	84	Caramel Apple Chips	Viva	L	bazar		1 - Estrangeira Importação Direta	56433082	6{7			100	38x49x11 cm	27	8	true
kullka001	85	Roasted Red Pepper Hummus	Kimia	M	mercearia		0 - Nacional	43878711	9{7	34.09			05x34x21 cm	86	33	true
kullka001	86	Electric Screwdriver	Oyonder	L	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	21741220	4{7	56.24		100	01x44x79 cm	92	99	true
kullka001	87	Artisan Flatbreads	Bubblemix	UN	mercearia		0 - Nacional	62162856	2{7	43.67			75x36x38 cm	52	62	false
kullka001	88	Hiking Water Bottle with Filter	Browseblab	L	mercearia		0 - Nacional	2135927	3{7	96.6		100	48x69x04 cm	61	88	false
kullka001	89	Gaming Mousepad	Photobean	KG	açougue		2 - Estrangeira Adquirida no Mercado Interno	36244203	8{7	39.22		100	96x44x02 cm	23	77	false
kullka001	90	Smartphone Stand	Skinder	UN	bazar		0 - Nacional	5111958	9{7	32.08			51x90x01 cm	77	3	true
kullka001	91	Hibiscus Herbal Tea	Voomm	UN	açougue		1 - Estrangeira Importação Direta	95792702	0{7		144		65x14x42 cm	17	76	false
kullka001	92	Dual Function Electric Skillet	Jaloo	M	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	34959839	7{7		128	100	37x26x35 cm	7	100	true
kullka001	93	Utility Cargo Pants	Centimia	M	alcoólicos		1 - Estrangeira Importação Direta	13635589	9{7	88.83	158		94x24x63 cm	52	77	false
kullka001	94	Pineapple Chunks (canned)	Edgeblab	L	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	11903235	0{7		194	100	21x01x57 cm	28	86	false
kullka001	95	Smart Thermostat	Trudeo	M	Bebidas		0 - Nacional	14813966	7{7	25.49	123	100	53x71x22 cm	11	89	false
kullka001	96	Cranberry Lime Sparkling Water	Devshare	L	açougue		2 - Estrangeira Adquirida no Mercado Interno	80790961	5{7	83.68		100	60x19x00 cm	32	92	true
kullka001	97	Wireless Car Charger	Browsetype	UN	alcoólicos		0 - Nacional	99030571	5{7	44.54	176	100	06x25x26 cm	68	71	false
kullka001	98	Adjustable Pet Feeder	Jaxnation	UN	bazar		1 - Estrangeira Importação Direta	3940907	7{7		178	100	43x62x34 cm	77	75	true
kullka001	99	Biodegradable Trash Bags	Geba	M	açougue		2 - Estrangeira Adquirida no Mercado Interno	79252028	2{7			100	93x77x69 cm	17	95	false
kullka001	100	Vintage Button-Down Shirt	Ozu	UN	mercearia		1 - Estrangeira Importação Direta	45516589	1{7				75x69x19 cm	86	39	false
kullka001	101	Watercolor Set	Zava	KG	Bebidas		1 - Estrangeira Importação Direta	73231211	3{7			100	51x93x52 cm	91	51	false
kullka001	102	Adjustable Dumbbells	Oyope	M	bazar		2 - Estrangeira Adquirida no Mercado Interno	66275132	7{7	91.84			23x81x37 cm	3	9	true
kullka001	103	Fitness Resistance Bands Set	Yoveo	KG	mercearia		2 - Estrangeira Adquirida no Mercado Interno	81033357	4{7	60.37	165	100	45x53x26 cm	84	64	true
kullka001	104	Multi-Function Meat Tenderizer	Browsetype	M	bazar		2 - Estrangeira Adquirida no Mercado Interno	7852056	0{7	92.57	109	100	56x37x32 cm	96	81	false
kullka001	105	Chocolate Syrup	Oyoyo	KG	bazar		2 - Estrangeira Adquirida no Mercado Interno	73822835	3{7				40x11x23 cm	44	23	true
kullka001	106	Waterproof Rain Boots	Skivee	UN	açougue		0 - Nacional	32837204	4{7		177		87x64x22 cm	92	78	false
kullka001	107	Animal Paw Print Soap Dispenser	Avavee	CX	alcoólicos		0 - Nacional	23281392	6{7				76x69x87 cm	54	29	true
kullka001	108	Elegant Maxi Skirt	Yata	L	mercearia		0 - Nacional	32529816	5{7			100	60x62x07 cm	31	4	true
kullka001	109	Bluetooth Shower Speaker	Browseblab	CX	bazar		1 - Estrangeira Importação Direta	80194852	7{7	55.8		100	62x98x65 cm	15	37	true
kullka001	110	Pork Tenderloin	InnoZ	CX	açougue		2 - Estrangeira Adquirida no Mercado Interno	2343280	8{7		106		00x65x96 cm	51	32	true
kullka001	111	Natural Peanut Butter	Yadel	KG	bazar		2 - Estrangeira Adquirida no Mercado Interno	30170887	3{7	90.6	128	100	47x62x10 cm	77	59	false
kullka001	112	Elegant Lace Dress	Devify	CX	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	38762589	8{7	77.67		100	54x60x17 cm	64	56	true
kullka001	113	Two-Tone Windbreaker	Meedoo	UN	açougue		1 - Estrangeira Importação Direta	90559439	7{7	56.36	152		52x75x46 cm	54	74	false
kullka001	114	Mixed Berry Smoothie Pack	Mymm	CX	bazar		2 - Estrangeira Adquirida no Mercado Interno	63595347	5{7	14.11	181	100	49x11x87 cm	77	30	true
kullka001	115	Portable Folding Picnic Table	Mymm	CX	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	57049370	5{7	15.15	158	100	71x24x02 cm	63	19	false
kullka001	116	Weighted Blanket	Livepath	KG	bazar		0 - Nacional	76834909	7{7	28.5	132		18x52x14 cm	34	78	false
kullka001	117	Energy Bites	Roomm	L	alcoólicos		0 - Nacional	78235696	4{7	41.73	116	100	13x03x86 cm	23	63	true
kullka001	118	Kids' Activity Book	Innotype	KG	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	31931590	6{7			100	87x14x26 cm	70	65	true
kullka001	119	Self-Massaging Pillow	Yakidoo	UN	hortifruti		0 - Nacional	95727672	9{7	30.47		100	50x30x76 cm	28	44	false
kullka001	120	Rechargeable Battery Organizer	Katz	L	hortifruti		1 - Estrangeira Importação Direta	74763164	4{7	86.98		100	25x24x32 cm	73	78	true
kullka001	121	Mango Chili Salsa	Vinder	UN	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	89512935	0{7	88.68	147	100	99x72x67 cm	69	69	true
kullka001	122	Carrot Sticks	Meembee	L	Bebidas		1 - Estrangeira Importação Direta	38850669	2{7	58.03		100	09x95x20 cm	72	11	true
kullka001	123	Balsamic Fig Dressing	Skyvu	M	açougue		2 - Estrangeira Adquirida no Mercado Interno	4712244	2{7			100	18x46x01 cm	43	84	true
kullka001	124	Denim Jacket	Tazzy	KG	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	87974261	2{7			100	76x28x41 cm	62	78	true
kullka001	125	Bamboo Toothbrush	Twiyo	M	mercearia		2 - Estrangeira Adquirida no Mercado Interno	2666130	8{7	47.89		100	73x08x35 cm	22	25	false
kullka001	126	Banana Nut Oatmeal Cups	Jaxworks	L	açougue		1 - Estrangeira Importação Direta	6924238	7{7				73x37x48 cm	96	74	true
kullka001	127	Lemon Sorbet	Realpoint	UN	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	16402373	5{7		173		41x56x85 cm	55	40	true
kullka001	128	Kids' Gardening Tools Set	Blogspan	CX	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	90204863	7{7		134	100	54x32x15 cm	19	13	false
kullka001	129	Multi-Purpose Scissors	Vimbo	CX	alcoólicos		1 - Estrangeira Importação Direta	52697892	1{7	84.94	159	100	34x14x76 cm	58	88	true
kullka001	130	Portable Ice Maker	Oyoloo	L	Bebidas		0 - Nacional	93910816	2{7		194	100	08x81x84 cm	9	50	true
kullka001	131	Honey Garlic Sauce	Trupe	L	açougue		1 - Estrangeira Importação Direta	23073095	5{7	27.45		100	07x61x11 cm	19	100	false
kullka001	132	Home Karaoke System	Skilith	M	mercearia		0 - Nacional	32714110	8{7	15.03	120		78x34x54 cm	67	80	true
kullka001	133	Mint Chocolate Chip Ice Cream	Blogpad	KG	mercearia		1 - Estrangeira Importação Direta	32183188	6{7	19.65			97x55x56 cm	73	29	false
kullka001	134	Electric Fondue Pot	Brainsphere	UN	hortifruti		1 - Estrangeira Importação Direta	12268957	2{7	80.98		100	62x32x47 cm	29	60	true
kullka001	135	Free-Range Eggs	Aivee	KG	hortifruti		0 - Nacional	59588792	0{7	65.29	146	100	96x29x51 cm	96	86	false
kullka001	136	Classic Black Trousers	Miboo	UN	bazar		0 - Nacional	49699856	1{7		100		67x85x05 cm	43	92	true
kullka001	137	Garden Tool Set	Realmix	KG	alcoólicos		1 - Estrangeira Importação Direta	57591465	5{7	50.27	150	100	58x89x32 cm	1	93	true
kullka001	138	Almond Butter	Meemm	CX	alcoólicos		1 - Estrangeira Importação Direta	61100718	3{7	98.4	150		54x69x00 cm	65	45	false
kullka001	139	Flavored Instant Oatmeal	Cogibox	UN	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	17835783	7{7	75.87		100	94x08x40 cm	27	43	false
kullka001	140	Insulated Wine Tote	Meevee	UN	alcoólicos		0 - Nacional	87940364	6{7	20.83	181	100	00x71x58 cm	26	23	true
kullka001	141	Bluetooth Sleep Headphones	Flashset	L	alcoólicos		0 - Nacional	52397735	2{7				56x28x21 cm	80	52	true
kullka001	142	Fried Rice	Feedspan	M	hortifruti		0 - Nacional	38826046	4{7	53.99	193	100	87x32x09 cm	4	4	false
kullka001	143	Essential White Button-Up	Skyndu	UN	hortifruti		1 - Estrangeira Importação Direta	61668500	3{7			100	91x95x27 cm	94	42	true
kullka001	144	Vegetable Lasagna	Fiveclub	KG	bazar		0 - Nacional	18674403	2{7	79.18		100	46x96x40 cm	73	20	false
kullka001	145	Smart LED Light Strip	Cogidoo	L	Bebidas		1 - Estrangeira Importação Direta	48595158	3{7			100	86x67x14 cm	30	86	false
kullka001	146	LED Flashlight	Viva	CX	bazar		0 - Nacional	13762018	6{7	62.34	198	100	77x27x44 cm	11	23	true
kullka001	147	Floral Wrap Top	JumpXS	UN	mercearia		1 - Estrangeira Importação Direta	7083471	6{7	62.36	120		31x59x13 cm	42	45	false
kullka001	148	Tandoori Chicken Marinade	Demimbu	M	açougue		1 - Estrangeira Importação Direta	74383170	7{7	17.34	103	100	14x11x11 cm	2	5	false
kullka001	149	Pet Hair Remover	Edgeify	KG	mercearia		1 - Estrangeira Importação Direta	40720979	8{7	84.1	106	100	22x76x00 cm	20	88	false
kullka001	150	Microwave Popcorn Maker	Fliptune	CX	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	40863068	0{7			100	19x46x99 cm	15	87	false
kullka001	151	Phone Screen Protector	Pixoboo	CX	bazar		0 - Nacional	89080994	5{7			100	14x85x25 cm	88	53	true
kullka001	152	Multi-Purpose Plant Care Tool	Flashset	KG	Bebidas		0 - Nacional	97069567	0{7		167	100	16x68x05 cm	50	1	false
kullka001	153	Roasted Garlic Aioli	Tagchat	CX	alcoólicos		1 - Estrangeira Importação Direta	42827752	5{7	44.1	129	100	27x29x85 cm	10	73	true
kullka001	154	Fleece Lined Leggings	Gevee	CX	açougue		0 - Nacional	99538011	0{7	88.69		100	62x83x69 cm	6	11	false
kullka001	155	Spicy Tuna Rolls	Nlounge	UN	Bebidas		0 - Nacional	40277050	1{7				66x33x08 cm	38	42	true
kullka001	156	Herbed Couscous	Dablist	UN	açougue		1 - Estrangeira Importação Direta	25498442	6{7	87.79			03x40x80 cm	76	13	false
kullka001	157	Cat Scratching Post with Toys	Feedfire	L	bazar		2 - Estrangeira Adquirida no Mercado Interno	48654806	2{7	90.03	146		93x35x27 cm	30	76	false
kullka001	158	Chocolate Fudge Ice Cream	Shufflester	KG	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	18330290	2{7	42.02	174		34x42x71 cm	57	18	false
kullka001	159	Adjustable Bar Stools	Einti	L	açougue		0 - Nacional	57475323	7{7			100	82x35x88 cm	13	62	false
kullka001	160	Cucumber Lime Sparkling Water	Vidoo	M	açougue		1 - Estrangeira Importação Direta	50085230	0{7	12.01	138	100	60x92x33 cm	57	94	false
kullka001	161	Lightweight Travel Backpack	Midel	KG	alcoólicos		0 - Nacional	72581470	9{7		167	100	37x77x09 cm	34	36	false
kullka001	162	Adjustable Bar Stools	Omba	KG	hortifruti		1 - Estrangeira Importação Direta	7631317	4{7	28.25	167		91x55x53 cm	9	82	true
kullka001	163	Vegetable Lentil Soup	Skajo	CX	bazar		2 - Estrangeira Adquirida no Mercado Interno	44903998	5{7	69.14	139	100	44x65x85 cm	82	5	true
kullka001	164	Wall Art Stickers	Midel	UN	açougue		2 - Estrangeira Adquirida no Mercado Interno	11399237	2{7		185	100	28x04x04 cm	64	95	true
kullka001	165	Sea Salt Caramel Brownie	Zava	M	mercearia		0 - Nacional	58894355	8{7			100	83x14x42 cm	19	5	true
kullka001	166	Ready-to-Eat Chili	Zooxo	UN	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	34719913	4{7	18.84	195		97x20x54 cm	88	91	false
kullka001	167	Compact Dishwasher	Devbug	M	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	5809296	4{7				04x31x52 cm	66	13	false
kullka001	168	Cranberry Pecan Granola	Divanoodle	L	açougue		0 - Nacional	30889892	8{7	32.58	116		15x84x47 cm	2	26	false
kullka001	169	Mediterranean Chickpea Salad	Browsecat	M	mercearia		2 - Estrangeira Adquirida no Mercado Interno	35695959	3{7		147		99x26x13 cm	42	63	true
kullka001	170	Outdoor Folding Table	Jatri	M	açougue		0 - Nacional	88887162	4{7		188		49x23x79 cm	18	81	false
kullka001	171	Organic Brown Sugar	Plambee	M	alcoólicos		0 - Nacional	20657824	3{7			100	41x04x63 cm	66	10	true
kullka001	172	Personal Blender with Travel Lid	Riffpath	L	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	80094548	4{7		130		80x97x32 cm	68	22	false
kullka001	173	Indoor Plants	Quaxo	L	açougue		0 - Nacional	54753252	2{7	22.92			13x44x37 cm	75	61	true
kullka001	174	Chocolate Mint Protein Shake	Chatterbridge	UN	açougue		1 - Estrangeira Importação Direta	30585389	4{7	85.39			20x53x07 cm	66	93	false
kullka001	175	Coconut Macaroons	Youtags	UN	hortifruti		1 - Estrangeira Importação Direta	20588089	2{7	37.15	116	100	57x56x86 cm	92	24	true
kullka001	176	Vegetable Stir-Fry Kit	Skyble	CX	hortifruti		1 - Estrangeira Importação Direta	14856032	6{7		198	100	31x47x22 cm	19	26	true
kullka001	177	Portable Hammock Swing	Dynava	L	açougue		2 - Estrangeira Adquirida no Mercado Interno	5232217	5{7	87.41	199	100	15x94x02 cm	84	22	false
kullka001	178	Fall-Themed Table Runner	Flashpoint	L	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	22186216	7{7	24.25	164	100	13x94x28 cm	56	54	true
kullka001	179	Silicone Baking Cups	Edgewire	L	açougue		1 - Estrangeira Importação Direta	99159664	9{7		110		06x97x62 cm	40	12	false
kullka001	180	Lemon Sorbet	Kwideo	UN	Bebidas		1 - Estrangeira Importação Direta	52767760	0{7				10x22x85 cm	54	38	false
kullka001	181	Herbed Chicken Breast	Avaveo	M	açougue		1 - Estrangeira Importação Direta	42921029	8{7	73.53		100	16x55x09 cm	21	42	false
